r2;rmse;mae;mse;mape;Framework;Task
0.857;3.595;;6.734;;literature;atici_compressive
0.955;4.8691;2.8333;23.7079;;literature;bachir_compressive
0.73;4.726;3.549;;;literature;guo_elongation
0.73;4.73;3.528;;;literature;guo_elongation
0.724;4.924;3.577;;;literature;guo_elongation
0.826;3.792;2.752;;;literature;guo_elongation
0.941;29.804;21.156;;;literature;guo_tensile
0.931;30.557;20.915;;;literature;guo_tensile
0.948;28.006;18.224;;;literature;guo_tensile
0.969;21.544;13.934;;;literature;guo_tensile
0.887;41.3;30.199;;;literature;guo_yield
0.874;43.606;29.571;;;literature;guo_yield
0.909;37.463;25.52;;;literature;guo_yield
0.945;28.719;19.448;;;literature;guo_yield
0.908;;;33.835;;literature;huang_compressive
0.985;;;21.05;;literature;huang_compressive
0.988;;;32.999;;literature;huang_compressive
0.908;;;33.835;;literature;huang_flex
0.985;;;21.05;;literature;huang_flex
0.988;;;32.999;;literature;huang_flex
0.637;4.89;;;;literature;hu_elongation
0.912;40.63;;;;literature;hu_yield-strength
0.947;34.44;;;;literature;hu_tensile-strength
0.42;399.47288;;;;literature;koya_compressive
;;;;;literature;koya_cte
;;;;;literature;koya_nu
0.44;46.4;;;;literature;koya_rup
0.43;47.125;;;;literature;koya_rup
-0.32;70.325;;;;literature;koya_rup
0.32;51.475;;;;literature;koya_rup
0.34;51.475;;;;literature;koya_rup
;;;;;literature;koya_split
;;;;;literature;koya_young
;;95.2;;;literature;mat-bench_yts
0.74;1.88;1.22;;;literature;su_bond-1
0.79;1.68;1.04;;;literature;su_bond-1
0.77;1.78;1.18;;;literature;su_bond-1
0.79;1.68;1.05;;;literature;su_bond-1
0.8;2.41;1.73;;;literature;su_bond-2
0.85;2.08;1.41;;;literature;su_bond-2
0.82;2.29;1.66;;;literature;su_bond-2
0.86;2.04;1.49;;;literature;su_bond-2
0.952;4.856;3.205;;;literature;uci_compressive
;;;;0.02104;literature;xiong_heigth
;;;;0.01922;literature;xiong_width
0.217;;;0.127;;literature;yin_pullout-force
0.214;;;0.126;;literature;yin_pullout-force
-0.234;;;0.096;;literature;yin_pullout-force
0.691;;;0.15;;literature;yin_pullout-force
0.735;;;0.131;;literature;yin_pullout-force
0.716;;;0.13;;literature;yin_pullout-force
-0.291;;;1320;;literature;yin_ifss
-1.26;;;1508;;literature;yin_ifss
-1.15;;;1499;;literature;yin_ifss
0.756;;;1071;;literature;yin_ifss
0.942;;;1097;;literature;yin_ifss
0.933;;;1102;;literature;yin_ifss
